epoch,epoch_time_sec,train_loss,train_acc,test_acc
0,138.84772466700088,2.1631854594421385,0.18934000000476836,0.3116
1,138.42779887500365,1.8406607531356811,0.33148000001907346,0.4032
2,139.21726829200634,1.6234554137802124,0.40773999999046323,0.477
3,141.00410275000468,1.4790004887771606,0.46383999996185304,0.5024
4,157.68480191600247,1.3651897075653077,0.5079000000190735,0.5646
